| Collection File | Total | Uploaded to R2 | % Status |
| mah-collection-1771410773596 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771410989297 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771411205812 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771411416896 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771411633323 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771411850595 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771412066733 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771412283928 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771412501706 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771412717248 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771412933512 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771413149094 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771413369062 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771413589278 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771413809200 | 3384 | 0 | 🔴 0.0% |
| mah-collection-1771414026613 | 3384 | 0 | 🔴 0.0% |
| mah-collection | 3384 | 0 | 🔴 0.0% |
| national-museum-korea-missing | 3300 | 0 | 🔴 0.0% |
| masp-collection | 3256 | 0 | 🔴 0.0% |
| sfmoma-collection | 3169 | 0 | 🔴 0.0% |
| nich-collection | 3142 | 0 | 🔴 0.0% |
| basel-collection | 3140 | 0 | 🔴 0.0% |
| kiasma-collection | 3028 | 0 | 🔴 0.0% |
| leopold-museum-collection | 3025 | 0 | 🔴 0.0% |
| aros-collection | 2995 | 0 | 🔴 0.0% |
| mplus-collection-highlights | 2974 | 0 | 🔴 0.0% |
| lacma-japanese-prints | 2835 | 0 | 🔴 0.0% |
| lacma-list-japanese-prints | 2835 | 0 | 🔴 0.0% |
| kunsthaus-collection | 2655 | 0 | 🔴 0.0% |
| mbam-collection | 2537 | 0 | 🔴 0.0% |
| met-ny-on-view-paintings-enriched | 2496 | 0 | 🔴 0.0% |
| met-ny-on-view-paintings | 2496 | 0 | 🔴 0.0% |
| mamcs-strasbourg-photography-collection | 2428 | 2428 | 🟢 100.0% |
| smb-bode-museum-collection | 2263 | 2156 | 🟡 95.3% |
| smb-alte-nationalgalerie-collection | 2258 | 2242 | 🟡 99.3% |
| grenoble-collection | 2133 | 2043 | 🟡 95.8% |
| skagens-collection | 2125 | 0 | 🔴 0.0% |
| reina-sofia-collection-part1 | 2000 | 0 | 🔴 0.0% |
| reina-sofia-collection-part2 | 2000 | 0 | 🔴 0.0% |
| reina-sofia-collection-part3 | 2000 | 0 | 🔴 0.0% |
| reina-sofia-collection-part4 | 2000 | 0 | 🔴 0.0% |
