Museum,Country,Exhibition ID,JSON File,Items Count,R2 Ready Count,Status
"Dulwich Picture Gallery","United Kingdom","dpg-konrad-magi","dpg-konrad-magi.json",0,0,"❌ 수집안됨 (파일없음)"
"Dulwich Picture Gallery","United Kingdom","dpg-portrait-city","dpg-portrait-city.json",0,0,"❌ 수집안됨 (파일없음)"
"Dulwich Picture Gallery","United Kingdom","dpg-hokusai","dpg-hokusai.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-gallery-collection","hayward-gallery-collection.json",1045,1045,"✅ 완료(정상표시)"
"Hayward Gallery","United Kingdom","hayward-65720","hayward-65720.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-66729","hayward-66729.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-64916","hayward-64916.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-64917","hayward-64917.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-64275","hayward-64275.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-62951","hayward-62951.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-61497","hayward-61497.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-60467","hayward-60467.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-60035","hayward-60035.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-59323","hayward-59323.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-58472","hayward-58472.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-59237","hayward-59237.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-58251","hayward-58251.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-58252","hayward-58252.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25038","hayward-25038.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25040","hayward-25040.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25043","hayward-25043.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25047","hayward-25047.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25050","hayward-25050.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25051","hayward-25051.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25055","hayward-25055.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25053","hayward-25053.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25056","hayward-25056.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25059","hayward-25059.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25060","hayward-25060.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25061","hayward-25061.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25064","hayward-25064.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25122","hayward-25122.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25077","hayward-25077.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25080","hayward-25080.json",0,0,"❌ 수집안됨 (파일없음)"
"Hayward Gallery","United Kingdom","hayward-25085","hayward-25085.json",0,0,"❌ 수집안됨 (파일없음)"
