Museum,Country,Exhibition ID,JSON File,Items Count,R2 Ready Count,Status
"Musée Toulouse-Lautrec","France","toulouse-lautrec-collection","toulouse-lautrec-collection.json",212,212,"✅ 완료(정상표시)"
"Palais des Beaux-Arts de Lille","France","lille-pba-collection","lille-pba-collection.json",99,99,"✅ 완료(정상표시)"
"Petit Palais","France","petit-palais-collection","petit-palais-collection.json",400,389,"✅ 완료(정상표시)"
"Alte Nationalgalerie","Germany","smb-alte-nationalgalerie-collection","smb-alte-nationalgalerie-collection.json",2258,2242,"✅ 완료(정상표시)"
"Alte Pinakothek","Germany","alte-pinakothek-collection","alte-pinakothek-collection.json",5262,5255,"✅ 완료(정상표시)"
"Altes Museum","Germany","smb-altes-museum-collection","smb-altes-museum-collection.json",658,658,"✅ 완료(정상표시)"
"Bode-Museum","Germany","smb-bode-museum-collection","smb-bode-museum-collection.json",2263,2156,"✅ 완료(정상표시)"
"Brücke-Museum","Germany","bruecke-museum-collection","bruecke-museum-collection.json",1391,1389,"✅ 완료(정상표시)"
"Gemäldegalerie","Germany","smb-gemaeldegalerie-collection","smb-gemaeldegalerie-collection.json",782,776,"✅ 완료(정상표시)"
"Hamburger Kunsthalle","Germany","hamburger-kunsthalle-collection","hamburger-kunsthalle-paintings.json",2286,2286,"✅ 완료(정상표시)"
"Humboldt Forum","Germany","smb-humboldt-forum-collection","smb-humboldt-forum-collection.json",980,974,"✅ 완료(정상표시)"
"Neue Nationalgalerie","Germany","smb-neue-nationalgalerie-collection","smb-neue-nationalgalerie-collection.json",730,730,"✅ 완료(정상표시)"
"Neue Pinakothek","Germany","neue-pinakothek-collection","neue-pinakothek-collection.json",136,129,"✅ 완료(정상표시)"
"Neues Museum","Germany","smb-neues-museum-collection","smb-neues-museum-collection.json",688,671,"✅ 완료(정상표시)"
"Pinakothek der Moderne","Germany","pinakothek-moderne-collection","pinakothek-moderne-collection.json",467,424,"✅ 완료(정상표시)"
"Sammlung Schack","Germany","sammlung-schack-collection","sammlung-schack-collection.json",173,173,"✅ 완료(정상표시)"
"Staatsgalerien","Germany","staatsgalerien-collection","staatsgalerien-collection.json",1200,1200,"✅ 완료(정상표시)"
"Städel Museum","Germany","staedel-museum-collection","staedel-museum-collection.json",1712,1711,"✅ 완료(정상표시)"
"Acropolis Museum","Greece","acropolis-highlights","acropolis-museum-collection.json",90,90,"✅ 완료(정상표시)"
"National Archaeological Museum","Greece","nam-collection","nam-collection.json",308,308,"✅ 완료(정상표시)"
"Hong Kong Museum of Art","Hong Kong","hkmoa-collection","hkmoa-collection.json",238,238,"✅ 완료(정상표시)"
"M+","Hong Kong","mplus-collection-mplus","mplus-collection-mplus.json",4773,4773,"✅ 완료(정상표시)"
"M+","Hong Kong","mplus-collection-sigg","mplus-collection-sigg.json",1331,1328,"✅ 완료(정상표시)"
"Museum of Fine Arts, Budapest","Hungary","mfab-collection","mfab-collection.json",10777,10775,"✅ 완료(정상표시)"
"Castello di Rivoli","Italy","castello-di-rivoli-collection","castello-di-rivoli-collection.json",820,776,"🔄 잔여/부분완료"
"Galleria Borghese","Italy","borghese-paintings","galleria-borghese-collection.json",562,561,"✅ 완료(정상표시)"
"Galleria Borghese","Italy","borghese-arte-antica","borghese-arte-antica-collection.json",291,291,"✅ 완료(정상표시)"
"Galleria dell'Accademia","Italy","accademia-collection","accademia-collection.json",70,70,"✅ 완료(정상표시)"
"Galleria Doria Pamphilj","Italy","doria-pamphilj-collection","doria-pamphilj-collection.json",29,29,"✅ 완료(정상표시)"
"Gallerie dell'Accademia di Venezia","Italy","gallerie-accademia-venice-collection","gallerie-accademia-venice-collection.json",188,187,"✅ 완료(정상표시)"
"Musei Capitolini","Italy","musei-capitolini-collection","musei-capitolini-collection.json",244,244,"✅ 완료(정상표시)"
"Museo Archeologico Nazionale di Napoli","Italy","napoli-collection","museo-archeologico-napoli-collection.json",221,221,"✅ 완료(정상표시)"
"Museo del Novecento","Italy","museo-novecento-milan-collection","museo-del-novecento-milan-collection.json",215,214,"✅ 완료(정상표시)"
"Museo Egizio","Italy","museo-egizio-collection","museo-egizio-collection.json",5428,5427,"✅ 완료(정상표시)"
"Museo Novecento","Italy","novecento-della-ragione-collection","novecento-della-ragione-collection.json",66,66,"✅ 완료(정상표시)"
"Museo Novecento","Italy","novecento-rosai-collection","novecento-rosai-collection.json",56,56,"✅ 완료(정상표시)"
"Peggy Guggenheim Collection","Italy","guggenheim-venice-collection","guggenheim-venice-collection.json",612,604,"✅ 완료(정상표시)"
"Pinacoteca Ambrosiana","Italy","ambrosiana-collection","ambrosiana-collection.json",122,122,"✅ 완료(정상표시)"
"Pinacoteca di Brera","Italy","brera-collection","pinacoteca-brera-collection.json",619,619,"✅ 완료(정상표시)"
"Pitti Palace","Italy","pitti-palace-collection","pitti-palace-collection.json",428,428,"✅ 완료(정상표시)"
"Uffizi Galleries","Italy","uffizi-gallery-collection","uffizi-gallery-collection.json",508,508,"✅ 완료(정상표시)"
"Vatican Museums","Italy","vatican-collection","vatican-collection.json",102,102,"✅ 완료(정상표시)"
"21st Century Museum of Contemporary Art, Kanazawa","Japan","kanazawa-collection","kanazawa-all.json",4161,3809,"🔄 잔여/부분완료"
"Adachi Museum of Art","Japan","adachi-collection","adachi-collection.json",59,59,"✅ 완료(정상표시)"
"Mori Art Museum","Japan","mori-collection","mori-collection.json",504,504,"✅ 완료(정상표시)"
"National Museum of Western Art","Japan","nmwa-collection","nmwa-collection.json",849,848,"✅ 완료(정상표시)"
"Tokyo Metropolitan Art Museum","Japan","tobikan-collection","tobikan-collection.json",48,48,"✅ 완료(정상표시)"
"Tokyo National Museum (ColBase)","Japan","tnm-painting-collection","nich-collection.json",3142,3141,"✅ 완료(정상표시)"
"Museo Frida Kahlo","Mexico","frida-timeline","frida-timeline.json",113,113,"✅ 완료(정상표시)"
"Kröller-Müller Museum","Netherlands","kroller-muller-collection","kroller-muller-paintings.json",1196,1196,"✅ 완료(정상표시)"
"Mauritshuis","Netherlands","mauritshuis-collection","mauritshuis-collection.json",860,857,"✅ 완료(정상표시)"
"Rijksmuseum","Netherlands","rijksmuseum-paintings","rijksmuseum-paintings-collection.json",4370,4370,"✅ 완료(정상표시)"
