id,museum,museumId,title,artist,year,category,medium,description,onDisplay,image,sourceUrl
"egyptian-cairo-funerary-mask-of-king-psusennes-i","The Egyptian Museum in Cairo","egyptian-museum-cairo","Funerary Mask Of King Psusennes I","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-funerary-mask-of-tuya","The Egyptian Museum in Cairo","egyptian-museum-cairo","Funerary Mask Of Tuya","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-funerary-papyrus-part-of-the-book-of-the-dead","The Egyptian Museum in Cairo","egyptian-museum-cairo","Funerary Papyrus Part Of The Book Of The Dead","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-funny-scene-decorated-with-cats-and-rats","The Egyptian Museum in Cairo","egyptian-museum-cairo","Funny Scene Decorated With Cats And Rats","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-greywacke-seated-statue-of-isis","The Egyptian Museum in Cairo","egyptian-museum-cairo","Greywacke Seated Statue Of Isis","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-group-statue-of-the-mayor-pasheryntaisui","The Egyptian Museum in Cairo","egyptian-museum-cairo","Group Statue Of The Mayor Pasheryntaisui","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-head-from-statuette-of-queen-tiye","The Egyptian Museum in Cairo","egyptian-museum-cairo","Head From Statuette Of Queen Tiye","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-head-of-a-galatian","The Egyptian Museum in Cairo","egyptian-museum-cairo","Head Of A Galatian","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-head-of-a-woman","The Egyptian Museum in Cairo","egyptian-museum-cairo","Head Of A Woman","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-head-of-alexander-the-great","The Egyptian Museum in Cairo","egyptian-museum-cairo","Head Of Alexander The Great","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-head-of-hatshepsut","The Egyptian Museum in Cairo","egyptian-museum-cairo","Head Of Hatshepsut","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-head-of-princess-daughter-of-akhenaten","The Egyptian Museum in Cairo","egyptian-museum-cairo","Head Of Princess Daughter Of Akhenaten","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-head-of-userkaf","The Egyptian Museum in Cairo","egyptian-museum-cairo","Head Of Userkaf","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-inner-coffin-and-mummy-board-of-meritamun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Inner Coffin And Mummy Board Of Meritamun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-ka-statue-of-king-auibrehor","The Egyptian Museum in Cairo","egyptian-museum-cairo","Ka Statue Of King Auibrehor","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-limestone-relief-of-akhenaten","The Egyptian Museum in Cairo","egyptian-museum-cairo","Limestone Relief Of Akhenaten","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-mask-of-tutankhamun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Mask Of Tutankhamun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-meidum-geese","The Egyptian Museum in Cairo","egyptian-museum-cairo","Meidum Geese","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-menkaure-triad","The Egyptian Museum in Cairo","egyptian-museum-cairo","Menkaure Triad","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-mosaic-with-medusa","The Egyptian Museum in Cairo","egyptian-museum-cairo","Mosaic With Medusa","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-mummies-of-the-big-nile-crocodile","The Egyptian Museum in Cairo","egyptian-museum-cairo","Mummies Of The Big Nile Crocodile","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-mummy-of-a-hunting-dog","The Egyptian Museum in Cairo","egyptian-museum-cairo","Mummy Of A Hunting Dog","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-narmer-palette-collection","The Egyptian Museum in Cairo","egyptian-museum-cairo","Narmer Palette Collection","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-old-kingdom-serving-statues","The Egyptian Museum in Cairo","egyptian-museum-cairo","Old Kingdom Serving Statues","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-ostracon-head-of-king-to-right-wearing-helmet-colored","The Egyptian Museum in Cairo","egyptian-museum-cairo","Ostracon Head Of King To Right Wearing Helmet Colored","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-painted-limestone-sphinx-of-hatshepsut","The Egyptian Museum in Cairo","egyptian-museum-cairo","Painted Limestone Sphinx Of Hatshepsut","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-painted-rectangular-stela","The Egyptian Museum in Cairo","egyptian-museum-cairo","Painted Rectangular Stela","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-painting-with-mythological-scenes-of-oedipus","The Egyptian Museum in Cairo","egyptian-museum-cairo","Painting With Mythological Scenes Of Oedipus","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-panel-of-blue-faience-tiles-of-djesor","The Egyptian Museum in Cairo","egyptian-museum-cairo","Panel Of Blue Faience Tiles Of Djesor","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-portrait-of-a-woman","The Egyptian Museum in Cairo","egyptian-museum-cairo","Portrait Of A Woman","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-portrait-of-two-brothers","The Egyptian Museum in Cairo","egyptian-museum-cairo","Portrait Of Two Brothers","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-pyramidion-of-the-pyramid-of-amenemhat-iii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Pyramidion Of The Pyramid Of Amenemhat Iii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-rahotep-and-nofret","The Egyptian Museum in Cairo","egyptian-museum-cairo","Rahotep And Nofret","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-rams-mummies","The Egyptian Museum in Cairo","egyptian-museum-cairo","Rams Mummies","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-reserve-head","The Egyptian Museum in Cairo","egyptian-museum-cairo","Reserve Head","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-sarcophagus-of-dagi-decorated-with-paintings-and-reliefs","The Egyptian Museum in Cairo","egyptian-museum-cairo","Sarcophagus Of Dagi Decorated With Paintings And Reliefs","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-sarcophagus-of-queen-hatshepsut","The Egyptian Museum in Cairo","egyptian-museum-cairo","Sarcophagus Of Queen Hatshepsut","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-scribe-statue-cg-36","The Egyptian Museum in Cairo","egyptian-museum-cairo","Scribe Statue Cg 36","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-scribe-statue-of-amenhotp-son-of-hepu","The Egyptian Museum in Cairo","egyptian-museum-cairo","Scribe Statue Of Amenhotp Son Of Hepu","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-scribe-statue-of-nespakashuti","The Egyptian Museum in Cairo","egyptian-museum-cairo","Scribe Statue Of Nespakashuti","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-scribe-statue-of-padiamunopet","The Egyptian Museum in Cairo","egyptian-museum-cairo","Scribe Statue Of Padiamunopet","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-seated-statue-of-osiris","The Egyptian Museum in Cairo","egyptian-museum-cairo","Seated Statue Of Osiris","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-seated-statue-of-queen-isis","The Egyptian Museum in Cairo","egyptian-museum-cairo","Seated Statue Of Queen Isis","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-seated-statue-of-queen-nofret","The Egyptian Museum in Cairo","egyptian-museum-cairo","Seated Statue Of Queen Nofret","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-seated-statue-of-sennefer","The Egyptian Museum in Cairo","egyptian-museum-cairo","Seated Statue Of Sennefer","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-seated-statue-of-thutmose-iv","The Egyptian Museum in Cairo","egyptian-museum-cairo","Seated Statue Of Thutmose Iv","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-sedan-chair-of-queen-hetepheres","The Egyptian Museum in Cairo","egyptian-museum-cairo","Sedan Chair Of Queen Hetepheres","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-shrine-dedicated-to-hathor-by-thutmosis-iii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Shrine Dedicated To Hathor By Thutmosis Iii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-shrine-for-canopic-vases","The Egyptian Museum in Cairo","egyptian-museum-cairo","Shrine For Canopic Vases","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-sistrum","The Egyptian Museum in Cairo","egyptian-museum-cairo","Sistrum","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-sphinx-of-amenemhet-iii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Sphinx Of Amenemhet Iii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-sphinx-statue-of-hatshepsut","The Egyptian Museum in Cairo","egyptian-museum-cairo","Sphinx Statue Of Hatshepsut","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-standing-statue-of-king-senusret-i","The Egyptian Museum in Cairo","egyptian-museum-cairo","Standing Statue Of King Senusret I","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-amenhotep-ii","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Amenhotep Ii","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-amenirdis","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Amenirdis","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-djoser","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Djoser","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-hetepdief-2","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Hetepdief 2","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-hor-son-of-ankh-khonsu","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Hor Son Of Ankh Khonsu","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-ka-aper","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Ka Aper","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-khafre","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Khafre","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-mentuhotep","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Mentuhotep","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-psamtek","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Psamtek","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-queen-tiye-usurped-by-henntawy","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Queen Tiye Usurped By Henntawy","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-ramesses-ii-as-a-child-and-the-god-horun","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Ramesses Ii As A Child And The God Horun","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-ramses-iii-between-horus-and-seth","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Ramses Iii Between Horus And Seth","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
"egyptian-cairo-statue-of-senenmut-with-the-princess-nefrure","The Egyptian Museum in Cairo","egyptian-museum-cairo","Statue Of Senenmut With The Princess Nefrure","Unknown","","Artefact","","","true","https://egyptianmuseumcairo.eg/wp-content/uploads/2023/01/egyptian-museum-cairo.jpg",""
